parkCode,fullName,lat,lon,Park Name
acad,Acadia National Park,44.409286,-68.247501,Acadia NP
arch,Arches National Park,38.72261844,-109.5863666,Arches NP
badl,Badlands National Park,43.68584846,-102.482942,Badlands NP
bibe,Big Bend National Park,29.29817767,-103.2297897,Big Bend NP
bisc,Biscayne National Park,25.490587,-80.21023851,Biscayne NP
blca,Black Canyon Of The Gunnison National Park,38.57779869,-107.7242756,Black Canyon of the Gunnison NP
brca,Bryce Canyon National Park,37.58399144,-112.1826689,Bryce Canyon NP
cany,Canyonlands National Park,38.24555783,-109.8801624,Canyonlands NP
care,Capitol Reef National Park,38.28216531,-111.2470484,Capitol Reef NP
cave,Carlsbad Caverns National Park,32.14089463,-104.5529688,Carlsbad Caverns NP
chis,Channel Islands National Park,33.98680093,-119.9112735,Channel Islands NP
cong,Congaree National Park,33.79187523,-80.74867805,Congaree NP
crla,Crater Lake National Park,42.94065854,-122.1338414,Crater Lake NP
cuva,Cuyahoga Valley National Park,41.26093905,-81.57116722,Cuyahoga Valley NP
deva,Death Valley National Park,36.48753731,-117.134395,Death Valley NP
drto,Dry Tortugas National Park,24.628741,-82.87319,Dry Tortugas NP
ever,Everglades National Park,25.37294225,-80.88200301,Everglades NP
jeff,Gateway Arch National Park,38.6258069,-90.1892508,Gateway Arch NP
glac,Glacier National Park,48.68414678,-113.8009306,Glacier NP
grca,Grand Canyon National Park,36.00011653,-112.1215164,Grand Canyon NP
grte,Grand Teton National Park,43.81853565,-110.7054666,Grand Teton NP
grba,Great Basin National Park,38.94617378,-114.2579782,Great Basin NP
grsm,Great Smoky Mountains National Park,35.60116374,-83.50818326,Great Smoky Mountains NP
gumo,Guadalupe Mountains National Park,31.92304462,-104.885527,Guadalupe Mountains NP
hale,Haleakal National Park,20.70693015,-156.1591775,Haleakala NP
havo,Hawai'i Volcanoes National Park,19.3355036,-155.4700257,Hawaii Volcanoes NP
hosp,Hot Springs National Park,34.52414366,-93.06332936,Hot Springs NP
indu,Indiana Dunes National Park,41.63765525,-87.09647445,Indiana Dunes NP
isro,Isle Royale National Park,48.01145819,-88.82780657,Isle Royale NP
jotr,Joshua Tree National Park,33.91418525,-115.8398125,Joshua Tree NP
kefj,Kenai Fjords National Park,59.81804414,-150.106502,Kenai Fjords NP
kova,Kobuk Valley National Park,67.35631336,-159.2002293,Kobuk Valley NP
lavo,Lassen Volcanic National Park,40.49354575,-121.4075993,Lassen Volcanic NP
maca,Mammoth Cave National Park,37.19760458,-86.13090198,Mammoth Cave NP
meve,Mesa Verde National Park,37.23908345,-108.4624032,Mesa Verde NP
mora,Mount Rainier National Park,46.86075416,-121.7043885,Mount Rainier NP
noca,North Cascades National Park,48.71171756,-121.2069423,North Cascades NP
olym,Olympic National Park,47.80392754,-123.6663848,Olympic NP
pefo,Petrified Forest National Park,34.98387664,-109.7877678,Petrified Forest NP
pinn,Pinnacles National Park,36.49029208,-121.1813607,Pinnacles NP
romo,Rocky Mountain National Park,40.3556924,-105.6972879,Rocky Mountain NP
sagu,Saguaro National Park,32.20909636,-110.7574974,Saguaro NP
seki,Sequoia & Kings Canyon National Parks,36.71277299,-118.587429,Sequoia NP
shen,Shenandoah National Park,38.49236644,-78.46907715,Shenandoah NP
thro,Theodore Roosevelt National Park,47.17777274,-103.4300083,Theodore Roosevelt NP
viis,Virgin Islands National Park,18.34279656,-64.74194451,Virgin Islands NP
voya,Voyageurs National Park,48.48370609,-92.8382913,Voyageurs NP
whsa,White Sands National Park,32.77907858,-106.3333461,White Sands NP
wica,Wind Cave National Park,43.58012365,-103.4394709,Wind Cave NP
yell,Yellowstone National Park,44.59824417,-110.5471695,Yellowstone NP
yose,Yosemite National Park,37.84883288,-119.5571873,Yosemite NP
zion,Zion National Park,37.29839254,-113.0265138,Zion NP
